Dependency=geometry_building_type_recs,Dependency=geometry_unit_cfa_bin,Dependency=major_elec_load_count,Dependency=panel_capacity,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
single-family attached,750-999,2,126-199,0.254929,0.09245,0.099207,0.094836,0.085102,0.073377,0.061547,0.050595,0.040956,0.032754,0.025939,0.020376,0.015897,0.012332,0.009518,0.007314,0.0056,0.004272,0.00325,0.002466,0.001866,0.001409,0.001062,0.000799,0.0006,0.00045,0.000337,0.000252,0.000188,0.00014,0.000104,7.8e-05
single-family attached,750-999,2,125,0.254929,0.09245,0.099207,0.094836,0.085102,0.073377,0.061547,0.050595,0.040956,0.032754,0.025939,0.020376,0.015897,0.012332,0.009518,0.007314,0.0056,0.004272,0.00325,0.002466,0.001866,0.001409,0.001062,0.000799,0.0006,0.00045,0.000337,0.000252,0.000188,0.00014,0.000104,7.8e-05
single-family attached,750-999,2,101-124,0.254929,0.09245,0.099207,0.094836,0.085102,0.073377,0.061547,0.050595,0.040956,0.032754,0.025939,0.020376,0.015897,0.012332,0.009518,0.007314,0.0056,0.004272,0.00325,0.002466,0.001866,0.001409,0.001062,0.000799,0.0006,0.00045,0.000337,0.000252,0.000188,0.00014,0.000104,7.8e-05
single-family attached,750-999,2,100,0.227223,0.130445,0.129555,0.114624,0.095199,0.075969,0.058977,0.044871,0.033618,0.024883,0.018238,0.01326,0.009575,0.006874,0.004911,0.003493,0.002475,0.001748,0.00123,0.000864,0.000605,0.000423,0.000295,0.000205,0.000143,9.9e-05,6.9e-05,4.7e-05,3.3e-05,2.3e-05,1.6e-05,1.1e-05
single-family attached,750-999,1,<100,0.230539,0.12249,0.123668,0.111226,0.093905,0.076177,0.060116,0.046495,0.035411,0.026644,0.019852,0.014672,0.01077,0.00786,0.005708,0.004127,0.002973,0.002134,0.001527,0.00109,0.000776,0.000551,0.000391,0.000277,0.000195,0.000138,9.7e-05,6.8e-05,4.8e-05,3.4e-05,2.4e-05,1.7e-05
single-family attached,750-999,1,201+,0.243254,0.067638,0.077327,0.078752,0.07529,0.06916,0.061803,0.054126,0.046679,0.039772,0.033555,0.028082,0.023342,0.01929,0.015862,0.012987,0.010592,0.00861,0.006978,0.00564,0.004547,0.003658,0.002937,0.002353,0.001883,0.001504,0.0012,0.000955,0.00076,0.000604,0.000479,0.00038
single-family attached,750-999,1,200,0.185069,0.059534,0.070263,0.073872,0.072907,0.069137,0.06378,0.057664,0.051339,0.045156,0.03933,0.033979,0.029157,0.024875,0.021116,0.017848,0.015028,0.01261,0.01055,0.008803,0.007327,0.006085,0.005043,0.004172,0.003446,0.002841,0.002339,0.001924,0.00158,0.001296,0.001062,0.000869
single-family attached,750-999,1,126-199,0.264194,0.085619,0.093148,0.090276,0.082131,0.071794,0.061053,0.050883,0.041759,0.033858,0.027184,0.021649,0.017125,0.013467,0.010538,0.008211,0.006373,0.00493,0.003802,0.002924,0.002243,0.001717,0.001312,0.001001,0.000762,0.000579,0.00044,0.000333,0.000252,0.000191,0.000144,0.000109
single-family attached,750-999,1,125,0.264194,0.085619,0.093148,0.090276,0.082131,0.071794,0.061053,0.050883,0.041759,0.033858,0.027184,0.021649,0.017125,0.013467,0.010538,0.008211,0.006373,0.00493,0.003802,0.002924,0.002243,0.001717,0.001312,0.001001,0.000762,0.000579,0.00044,0.000333,0.000252,0.000191,0.000144,0.000109
single-family attached,750-999,1,101-124,0.264194,0.085619,0.093148,0.090276,0.082131,0.071794,0.061053,0.050883,0.041759,0.033858,0.027184,0.021649,0.017125,0.013467,0.010538,0.008211,0.006373,0.00493,0.003802,0.002924,0.002243,0.001717,0.001312,0.001001,0.000762,0.000579,0.00044,0.000333,0.000252,0.000191,0.000144,0.000109
single-family attached,750-999,1,100,0.230539,0.12249,0.123668,0.111226,0.093905,0.076177,0.060116,0.046495,0.035411,0.026644,0.019852,0.014672,0.01077,0.00786,0.005708,0.004127,0.002973,0.002134,0.001527,0.00109,0.000776,0.000551,0.000391,0.000277,0.000195,0.000138,9.7e-05,6.8e-05,4.8e-05,3.4e-05,2.4e-05,1.7e-05
single-family attached,750-999,0,<100,0.235012,0.114712,0.117666,0.10752,0.092228,0.076013,0.060946,0.047891,0.037057,0.028329,0.021444,0.016102,0.012009,0.008904,0.00657,0.004826,0.003532,0.002576,0.001873,0.001358,0.000982,0.000709,0.000511,0.000367,0.000264,0.000189,0.000135,9.7e-05,6.9e-05,4.9e-05,3.5e-05,2.5e-05
single-family attached,750-999,0,201+,0.254668,0.062181,0.071903,0.074068,0.071623,0.066546,0.060148,0.053281,0.046477,0.040053,0.03418,0.028933,0.024325,0.020333,0.016912,0.014005,0.011553,0.009499,0.007786,0.006365,0.005191,0.004224,0.00343,0.00278,0.00225,0.001817,0.001466,0.001181,0.000951,0.000764,0.000613,0.000492
single-family attached,750-999,0,200,0.194084,0.054843,0.065388,0.069449,0.069243,0.066333,0.061819,0.056462,0.050782,0.045123,0.039703,0.034651,0.030038,0.025888,0.022201,0.018956,0.016124,0.013669,0.011552,0.009737,0.008187,0.006869,0.005751,0.004806,0.00401,0.00334,0.002779,0.002308,0.001915,0.001587,0.001314,0.001086
single-family attached,750-999,0,126-199,0.274675,0.079066,0.087165,0.085604,0.078918,0.069906,0.060239,0.050874,0.042309,0.034761,0.028281,0.022823,0.018294,0.014579,0.01156,0.009127,0.007178,0.005627,0.004397,0.003427,0.002664,0.002067,0.0016,0.001237,0.000954,0.000735,0.000565,0.000434,0.000333,0.000255,0.000195,0.000149
single-family attached,750-999,0,125,0.274675,0.079066,0.087165,0.085604,0.078918,0.069906,0.060239,0.050874,0.042309,0.034761,0.028281,0.022823,0.018294,0.014579,0.01156,0.009127,0.007178,0.005627,0.004397,0.003427,0.002664,0.002067,0.0016,0.001237,0.000954,0.000735,0.000565,0.000434,0.000333,0.000255,0.000195,0.000149
single-family attached,750-999,0,101-124,0.274675,0.079066,0.087165,0.085604,0.078918,0.069906,0.060239,0.050874,0.042309,0.034761,0.028281,0.022823,0.018294,0.014579,0.01156,0.009127,0.007178,0.005627,0.004397,0.003427,0.002664,0.002067,0.0016,0.001237,0.000954,0.000735,0.000565,0.000434,0.000333,0.000255,0.000195,0.000149
single-family attached,750-999,0,100,0.235012,0.114712,0.117666,0.10752,0.092228,0.076013,0.060946,0.047891,0.037057,0.028329,0.021444,0.016102,0.012009,0.008904,0.00657,0.004826,0.003532,0.002576,0.001873,0.001358,0.000982,0.000709,0.000511,0.000367,0.000264,0.000189,0.000135,9.7e-05,6.9e-05,4.9e-05,3.5e-05,2.5e-05
single-family attached,500-749,7,<100,0.222859,0.171167,0.155813,0.126351,0.096182,0.070348,0.050055,0.034906,0.023969,0.016261,0.010924,0.007279,0.004818,0.00317,0.002076,0.001353,0.000879,0.000569,0.000367,0.000236,0.000152,9.7e-05,6.2e-05,4e-05,2.5e-05,1.6e-05,1e-05,6e-06,4e-06,3e-06,2e-06,1e-06
single-family attached,500-749,7,201+,0.19429,0.105601,0.111934,0.105694,0.093686,0.07979,0.066108,0.053679,0.042922,0.033906,0.026523,0.02058,0.01586,0.012152,0.009265,0.007033,0.005318,0.004008,0.003012,0.002257,0.001687,0.001258,0.000937,0.000696,0.000516,0.000382,0.000283,0.000209,0.000154,0.000113,8.3e-05,6.1e-05
single-family attached,500-749,7,200,0.149094,0.092566,0.10209,0.100301,0.092505,0.081974,0.070667,0.059705,0.049673,0.040828,0.03323,0.026828,0.021513,0.017151,0.013605,0.010746,0.008455,0.00663,0.005183,0.004041,0.003143,0.002439,0.001889,0.001461,0.001127,0.000869,0.000668,0.000514,0.000394,0.000302,0.000231,0.000177
single-family attached,500-749,7,126-199,0.221458,0.129661,0.129273,0.114815,0.095725,0.076684,0.059761,0.045643,0.034328,0.025507,0.018767,0.013697,0.009929,0.007156,0.005131,0.003664,0.002606,0.001847,0.001306,0.00092,0.000647,0.000454,0.000318,0.000222,0.000155,0.000108,7.5e-05,5.2e-05,3.6e-05,2.5e-05,1.7e-05,1.2e-05
single-family attached,500-749,7,125,0.221458,0.129661,0.129273,0.114815,0.095725,0.076684,0.059761,0.045643,0.034328,0.025507,0.018767,0.013697,0.009929,0.007156,0.005131,0.003664,0.002606,0.001847,0.001306,0.00092,0.000647,0.000454,0.000318,0.000222,0.000155,0.000108,7.5e-05,5.2e-05,3.6e-05,2.5e-05,1.7e-05,1.2e-05
single-family attached,500-749,7,101-124,0.221458,0.129661,0.129273,0.114815,0.095725,0.076684,0.059761,0.045643,0.034328,0.025507,0.018767,0.013697,0.009929,0.007156,0.005131,0.003664,0.002606,0.001847,0.001306,0.00092,0.000647,0.000454,0.000318,0.000222,0.000155,0.000108,7.5e-05,5.2e-05,3.6e-05,2.5e-05,1.7e-05,1.2e-05
single-family attached,500-749,7,100,0.222859,0.171167,0.155813,0.126351,0.096182,0.070348,0.050055,0.034906,0.023969,0.016261,0.010924,0.007279,0.004818,0.00317,0.002076,0.001353,0.000879,0.000569,0.000367,0.000236,0.000152,9.7e-05,6.2e-05,4e-05,2.5e-05,1.6e-05,1e-05,6e-06,4e-06,3e-06,2e-06,1e-06
single-family attached,500-749,6,<100,0.220658,0.162805,0.151073,0.124882,0.096906,0.072252,0.052406,0.037253,0.026077,0.018034,0.012349,0.008389,0.00566,0.003796,0.002534,0.001684,0.001115,0.000735,0.000484,0.000317,0.000208,0.000136,8.8e-05,5.7e-05,3.7e-05,2.4e-05,1.6e-05,1e-05,7e-06,4e-06,3e-06,2e-06
single-family attached,500-749,6,201+,0.198546,0.098598,0.106003,0.101522,0.091273,0.078845,0.066258,0.054569,0.044257,0.03546,0.028134,0.022142,0.017308,0.013451,0.010401,0.008008,0.006142,0.004695,0.003578,0.00272,0.002062,0.00156,0.001178,0.000888,0.000668,0.000502,0.000376,0.000282,0.000211,0.000158,0.000118,8.8e-05
single-family attached,500-749,6,200,0.151782,0.086354,0.09646,0.095985,0.08966,0.080472,0.070262,0.060124,0.050663,0.042176,0.034768,0.028429,0.023089,0.018644,0.014979,0.011983,0.009549,0.007584,0.006005,0.004742,0.003736,0.002936,0.002303,0.001804,0.00141,0.0011,0.000857,0.000667,0.000519,0.000403,0.000312,0.000242
single-family attached,500-749,6,126-199,0.224524,0.121764,0.123393,0.111392,0.094396,0.076861,0.060882,0.047263,0.03613,0.027286,0.020406,0.015138,0.011153,0.00817,0.005955,0.004322,0.003124,0.002251,0.001617,0.001159,0.000828,0.00059,0.00042,0.000298,0.000212,0.00015,0.000106,7.5e-05,5.3e-05,3.7e-05,2.6e-05,1.8e-05
single-family attached,500-749,6,125,0.224524,0.121764,0.123393,0.111392,0.094396,0.076861,0.060882,0.047263,0.03613,0.027286,0.020406,0.015138,0.011153,0.00817,0.005955,0.004322,0.003124,0.002251,0.001617,0.001159,0.000828,0.00059,0.00042,0.000298,0.000212,0.00015,0.000106,7.5e-05,5.3e-05,3.7e-05,2.6e-05,1.8e-05
single-family attached,500-749,6,101-124,0.224524,0.121764,0.123393,0.111392,0.094396,0.076861,0.060882,0.047263,0.03613,0.027286,0.020406,0.015138,0.011153,0.00817,0.005955,0.004322,0.003124,0.002251,0.001617,0.001159,0.000828,0.00059,0.00042,0.000298,0.000212,0.00015,0.000106,7.5e-05,5.3e-05,3.7e-05,2.6e-05,1.8e-05
single-family attached,500-749,6,100,0.220658,0.162805,0.151073,0.124882,0.096906,0.072252,0.052406,0.037253,0.026077,0.018034,0.012349,0.008389,0.00566,0.003796,0.002534,0.001684,0.001115,0.000735,0.000484,0.000317,0.000208,0.000136,8.8e-05,5.7e-05,3.7e-05,2.4e-05,1.6e-05,1e-05,7e-06,4e-06,3e-06,2e-06
single-family attached,500-749,5,<100,0.219445,0.15447,0.14603,0.122979,0.097221,0.073848,0.054569,0.039519,0.028183,0.019856,0.013853,0.009586,0.006589,0.004503,0.003062,0.002073,0.001398,0.00094,0.00063,0.000421,0.000281,0.000187,0.000124,8.2e-05,5.4e-05,3.6e-05,2.4e-05,1.6e-05,1e-05,7e-06,4e-06,3e-06
single-family attached,500-749,5,201+,0.203893,0.091833,0.100089,0.097178,0.08857,0.077563,0.066078,0.05517,0.04536,0.036844,0.029635,0.023644,0.018736,0.014761,0.011572,0.009032,0.007023,0.005442,0.004205,0.00324,0.00249,0.00191,0.001462,0.001117,0.000852,0.000649,0.000493,0.000375,0.000284,0.000215,0.000163,0.000123
single-family attached,500-749,5,200,0.1554,0.080393,0.09091,0.09158,0.086601,0.078686,0.069552,0.060251,0.051397,0.043315,0.036147,0.029923,0.024602,0.02011,0.016357,0.013247,0.010687,0.008592,0.006888,0.005506,0.004391,0.003494,0.002775,0.002199,0.00174,0.001375,0.001085,0.000855,0.000673,0.000529,0.000415,0.000326
single-family attached,500-749,5,126-199,0.22873,0.114047,0.117405,0.107668,0.092687,0.076666,0.061691,0.04865,0.037781,0.028986,0.022021,0.016595,0.012421,0.009243,0.006844,0.005046,0.003706,0.002712,0.001979,0.00144,0.001046,0.000758,0.000548,0.000395,0.000285,0.000205,0.000147,0.000105,7.6e-05,5.4e-05,3.9e-05,2.8e-05
single-family attached,500-749,5,125,0.22873,0.114047,0.117405,0.107668,0.092687,0.076666,0.061691,0.04865,0.037781,0.028986,0.022021,0.016595,0.012421,0.009243,0.006844,0.005046,0.003706,0.002712,0.001979,0.00144,0.001046,0.000758,0.000548,0.000395,0.000285,0.000205,0.000147,0.000105,7.6e-05,5.4e-05,3.9e-05,2.8e-05
single-family attached,500-749,5,101-124,0.22873,0.114047,0.117405,0.107668,0.092687,0.076666,0.061691,0.04865,0.037781,0.028986,0.022021,0.016595,0.012421,0.009243,0.006844,0.005046,0.003706,0.002712,0.001979,0.00144,0.001046,0.000758,0.000548,0.000395,0.000285,0.000205,0.000147,0.000105,7.6e-05,5.4e-05,3.9e-05,2.8e-05
single-family attached,500-749,5,100,0.219445,0.15447,0.14603,0.122979,0.097221,0.073848,0.054569,0.039519,0.028183,0.019856,0.013853,0.009586,0.006589,0.004503,0.003062,0.002073,0.001398,0.00094,0.00063,0.000421,0.000281,0.000187,0.000124,8.2e-05,5.4e-05,3.6e-05,2.4e-05,1.6e-05,1e-05,7e-06,4e-06,3e-06
single-family attached,500-749,4,<100,0.219253,0.146194,0.140719,0.120661,0.097123,0.075114,0.056514,0.041672,0.030258,0.021706,0.015418,0.010864,0.007603,0.00529,0.003663,0.002525,0.001734,0.001187,0.00081,0.000551,0.000374,0.000253,0.000171,0.000116,7.8e-05,5.2e-05,3.5e-05,2.4e-05,1.6e-05,1.1e-05,7e-06,5e-06
single-family attached,500-749,4,201+,0.210354,0.085319,0.094224,0.092697,0.085606,0.075962,0.065572,0.055475,0.046215,0.038037,0.031,0.025061,0.020123,0.016064,0.01276,0.010092,0.007951,0.006243,0.004888,0.003816,0.002972,0.002309,0.001791,0.001387,0.001072,0.000827,0.000637,0.00049,0.000377,0.000289,0.000222,0.00017
single-family attached,500-749,4,200,0.159975,0.07469,0.085465,0.087117,0.08336,0.076641,0.068549,0.060088,0.051867,0.04423,0.03735,0.031285,0.026028,0.021529,0.017719,0.01452,0.011853,0.009643,0.007822,0.006328,0.005106,0.004111,0.003304,0.00265,0.002122,0.001696,0.001354,0.00108,0.00086,0.000684,0.000543,0.000431
single-family attached,500-749,4,126-199,0.2341,0.106532,0.111349,0.103677,0.090619,0.076103,0.062176,0.049784,0.039253,0.030576,0.023585,0.018046,0.013713,0.010361,0.007789,0.005831,0.004348,0.003231,0.002394,0.001769,0.001304,0.000959,0.000704,0.000516,0.000377,0.000275,0.000201,0.000146,0.000106,7.7e-05,5.6e-05,4.1e-05
single-family attached,500-749,4,125,0.2341,0.106532,0.111349,0.103677,0.090619,0.076103,0.062176,0.049784,0.039253,0.030576,0.023585,0.018046,0.013713,0.010361,0.007789,0.005831,0.004348,0.003231,0.002394,0.001769,0.001304,0.000959,0.000704,0.000516,0.000377,0.000275,0.000201,0.000146,0.000106,7.7e-05,5.6e-05,4.1e-05
single-family attached,500-749,4,101-124,0.2341,0.106532,0.111349,0.103677,0.090619,0.076103,0.062176,0.049784,0.039253,0.030576,0.023585,0.018046,0.013713,0.010361,0.007789,0.005831,0.004348,0.003231,0.002394,0.001769,0.001304,0.000959,0.000704,0.000516,0.000377,0.000275,0.000201,0.000146,0.000106,7.7e-05,5.6e-05,4.1e-05
single-family attached,500-749,4,100,0.219253,0.146194,0.140719,0.120661,0.097123,0.075114,0.056514,0.041672,0.030258,0.021706,0.015418,0.010864,0.007603,0.00529,0.003663,0.002525,0.001734,0.001187,0.00081,0.000551,0.000374,0.000253,0.000171,0.000116,7.8e-05,5.2e-05,3.5e-05,2.4e-05,1.6e-05,1.1e-05,7e-06,5e-06
single-family attached,500-749,3,<100,0.220117,0.138011,0.13518,0.117951,0.096612,0.076033,0.058212,0.043679,0.032274,0.023559,0.017029,0.01221,0.008695,0.006157,0.004337,0.003042,0.002126,0.001481,0.001028,0.000712,0.000492,0.000339,0.000233,0.00016,0.00011,7.5e-05,5.1e-05,3.5e-05,2.4e-05,1.6e-05,1.1e-05,8e-06
single-family attached,500-749,3,201+,0.21795,0.07907,0.088437,0.088116,0.082416,0.074065,0.064752,0.05548,0.04681,0.039019,0.032206,0.026369,0.021443,0.017337,0.013947,0.011172,0.008914,0.007089,0.005621,0.004444,0.003505,0.002759,0.002167,0.001699,0.00133,0.001039,0.000811,0.000632,0.000492,0.000382,0.000297,0.00023
single-family attached,500-749,3,200,0.165539,0.06925,0.080145,0.082629,0.079969,0.074363,0.067272,0.059642,0.05207,0.044911,0.038359,0.032497,0.027345,0.022877,0.019044,0.015784,0.013032,0.010724,0.008798,0.007198,0.005875,0.004785,0.003889,0.003155,0.002555,0.002066,0.001668,0.001345,0.001083,0.000871,0.0007,0.000562
single-family attached,500-749,3,126-199,0.240653,0.099242,0.105263,0.099459,0.088217,0.075181,0.06233,0.050645,0.040522,0.032031,0.025073,0.019467,0.015013,0.01151,0.008781,0.00667,0.005047,0.003806,0.002862,0.002146,0.001605,0.001198,0.000892,0.000663,0.000492,0.000365,0.00027,0.0002,0.000147,0.000109,8e-05,5.9e-05
single-family attached,500-749,3,125,0.240653,0.099242,0.105263,0.099459,0.088217,0.075181,0.06233,0.050645,0.040522,0.032031,0.025073,0.019467,0.015013,0.01151,0.008781,0.00667,0.005047,0.003806,0.002862,0.002146,0.001605,0.001198,0.000892,0.000663,0.000492,0.000365,0.00027,0.0002,0.000147,0.000109,8e-05,5.9e-05
single-family attached,500-749,3,101-124,0.240653,0.099242,0.105263,0.099459,0.088217,0.075181,0.06233,0.050645,0.040522,0.032031,0.025073,0.019467,0.015013,0.01151,0.008781,0.00667,0.005047,0.003806,0.002862,0.002146,0.001605,0.001198,0.000892,0.000663,0.000492,0.000365,0.00027,0.0002,0.000147,0.000109,8e-05,5.9e-05
single-family attached,500-749,3,100,0.220117,0.138011,0.13518,0.117951,0.096612,0.076033,0.058212,0.043679,0.032274,0.023559,0.017029,0.01221,0.008695,0.006157,0.004337,0.003042,0.002126,0.001481,0.001028,0.000712,0.000492,0.000339,0.000233,0.00016,0.00011,7.5e-05,5.1e-05,3.5e-05,2.4e-05,1.6e-05,1.1e-05,8e-06
single-family attached,500-749,2,<100,0.222069,0.129952,0.129451,0.114875,0.095693,0.076592,0.059638,0.04551,0.034199,0.025389,0.018664,0.01361,0.009857,0.007098,0.005086,0.003628,0.002578,0.001826,0.00129,0.000908,0.000638,0.000447,0.000313,0.000218,0.000152,0.000106,7.4e-05,5.1e-05,3.5e-05,2.5e-05,1.7e-05,1.2e-05
single-family attached,500-749,2,201+,0.226698,0.073093,0.082758,0.083471,0.079032,0.071897,0.06363,0.055189,0.047137,0.039775,0.033234,0.027545,0.022675,0.018559,0.015114,0.012255,0.009899,0.007969,0.006396,0.005119,0.004088,0.003257,0.002589,0.002055,0.001628,0.001288,0.001017,0.000803,0.000632,0.000498,0.000391,0.000307
single-family attached,500-749,2,200,0.172122,0.064075,0.074971,0.078143,0.076459,0.07188,0.06574,0.058924,0.052009,0.045351,0.03916,0.033541,0.028533,0.024133,0.02031,0.017018,0.014206,0.011818,0.009802,0.008108,0.00669,0.005508,0.004526,0.003712,0.003039,0.002485,0.002028,0.001653,0.001346,0.001095,0.000889,0.000722
single-family attached,500-749,2,126-199,0.248402,0.092198,0.099185,0.095052,0.08551,0.073913,0.062152,0.05122,0.041566,0.033325,0.026457,0.020835,0.016297,0.012673,0.009806,0.007555,0.005798,0.004435,0.003382,0.002572,0.001951,0.001477,0.001116,0.000842,0.000634,0.000476,0.000357,0.000268,0.000201,0.00015,0.000112,8.4e-05
single-family attached,500-749,2,125,0.248402,0.092198,0.099185,0.095052,0.08551,0.073913,0.062152,0.05122,0.041566,0.033325,0.026457,0.020835,0.016297,0.012673,0.009806,0.007555,0.005798,0.004435,0.003382,0.002572,0.001951,0.001477,0.001116,0.000842,0.000634,0.000476,0.000357,0.000268,0.000201,0.00015,0.000112,8.4e-05
single-family attached,500-749,2,101-124,0.248402,0.092198,0.099185,0.095052,0.08551,0.073913,0.062152,0.05122,0.041566,0.033325,0.026457,0.020835,0.016297,0.012673,0.009806,0.007555,0.005798,0.004435,0.003382,0.002572,0.001951,0.001477,0.001116,0.000842,0.000634,0.000476,0.000357,0.000268,0.000201,0.00015,0.000112,8.4e-05
single-family attached,500-749,2,100,0.222069,0.129952,0.129451,0.114875,0.095693,0.076592,0.059638,0.04551,0.034199,0.025389,0.018664,0.01361,0.009857,0.007098,0.005086,0.003628,0.002578,0.001826,0.00129,0.000908,0.000638,0.000447,0.000313,0.000218,0.000152,0.000106,7.4e-05,5.1e-05,3.5e-05,2.5e-05,1.7e-05,1.2e-05
single-family attached,500-749,1,<100,0.225136,0.122044,0.123574,0.111462,0.094377,0.076781,0.060769,0.047136,0.036003,0.027168,0.020301,0.015047,0.011077,0.008108,0.005905,0.004282,0.003093,0.002227,0.001598,0.001144,0.000817,0.000582,0.000414,0.000294,0.000208,0.000147,0.000104,7.3e-05,5.2e-05,3.6e-05,2.6e-05,1.8e-05
single-family attached,500-749,1,201+,0.236614,0.067397,0.077211,0.078798,0.07549,0.069488,0.062225,0.05461,0.047195,0.040294,0.034067,0.028569,0.023797,0.019707,0.016239,0.013323,0.010889,0.00887,0.007203,0.005834,0.004713,0.0038,0.003057,0.002455,0.001968,0.001575,0.001259,0.001005,0.000801,0.000638,0.000507,0.000403
single-family attached,500-749,1,200,0.179757,0.059166,0.069958,0.073688,0.072861,0.069222,0.063977,0.05795,0.051689,0.045548,0.039745,0.034402,0.029575,0.025278,0.021498,0.018204,0.015356,0.01291,0.010821,0.009045,0.007542,0.006276,0.005211,0.004319,0.003574,0.002952,0.002435,0.002006,0.001651,0.001357,0.001114,0.000913
single-family attached,500-749,1,126-199,0.257358,0.085414,0.09315,0.090496,0.08253,0.072317,0.061646,0.051501,0.042369,0.034436,0.027714,0.022125,0.017543,0.01383,0.010848,0.008473,0.006592,0.005111,0.003951,0.003047,0.002343,0.001798,0.001377,0.001053,0.000803,0.000612,0.000466,0.000354,0.000269,0.000204,0.000154,0.000117
single-family attached,500-749,1,125,0.257358,0.085414,0.09315,0.090496,0.08253,0.072317,0.061646,0.051501,0.042369,0.034436,0.027714,0.022125,0.017543,0.01383,0.010848,0.008473,0.006592,0.005111,0.003951,0.003047,0.002343,0.001798,0.001377,0.001053,0.000803,0.000612,0.000466,0.000354,0.000269,0.000204,0.000154,0.000117
single-family attached,500-749,1,101-124,0.257358,0.085414,0.09315,0.090496,0.08253,0.072317,0.061646,0.051501,0.042369,0.034436,0.027714,0.022125,0.017543,0.01383,0.010848,0.008473,0.006592,0.005111,0.003951,0.003047,0.002343,0.001798,0.001377,0.001053,0.000803,0.000612,0.000466,0.000354,0.000269,0.000204,0.000154,0.000117
single-family attached,500-749,1,100,0.225136,0.122044,0.123574,0.111462,0.094377,0.076781,0.060769,0.047136,0.036003,0.027168,0.020301,0.015047,0.011077,0.008108,0.005905,0.004282,0.003093,0.002227,0.001598,0.001144,0.000817,0.000582,0.000414,0.000294,0.000208,0.000147,0.000104,7.3e-05,5.2e-05,3.6e-05,2.6e-05,1.8e-05
single-family attached,500-749,0,<100,0.229345,0.114314,0.117586,0.107747,0.092681,0.0766,0.061588,0.04853,0.037657,0.028868,0.021914,0.0165,0.01234,0.009176,0.006789,0.005001,0.00367,0.002684,0.001957,0.001423,0.001032,0.000747,0.00054,0.000389,0.00028,0.000201,0.000144,0.000104,7.4e-05,5.3e-05,3.8e-05,2.7e-05
single-family attached,500-749,0,201+,0.247708,0.061985,0.07182,0.07413,0.071826,0.066868,0.060561,0.053754,0.046984,0.040571,0.034691,0.029424,0.024788,0.020761,0.017302,0.014357,0.011868,0.009777,0.00803,0.006578,0.005375,0.004382,0.003566,0.002896,0.002348,0.001901,0.001537,0.00124,0.001,0.000805,0.000648,0.000521
single-family attached,500-749,0,200,0.188478,0.054523,0.065122,0.06929,0.069207,0.066417,0.062008,0.056736,0.051119,0.045503,0.040109,0.035068,0.030454,0.026293,0.022589,0.019321,0.016464,0.013982,0.011838,0.009996,0.00842,0.007077,0.005936,0.004969,0.004153,0.003466,0.002888,0.002404,0.001998,0.001659,0.001375,0.001139
single-family attached,500-749,0,126-199,0.267523,0.078907,0.087193,0.08583,0.079311,0.070417,0.060821,0.051485,0.042917,0.035343,0.028821,0.023313,0.01873,0.014961,0.011891,0.00941,0.007418,0.005828,0.004565,0.003566,0.002779,0.002161,0.001677,0.001299,0.001004,0.000775,0.000598,0.00046,0.000354,0.000272,0.000209,0.00016
single-family attached,500-749,0,125,0.267523,0.078907,0.087193,0.08583,0.079311,0.070417,0.060821,0.051485,0.042917,0.035343,0.028821,0.023313,0.01873,0.014961,0.011891,0.00941,0.007418,0.005828,0.004565,0.003566,0.002779,0.002161,0.001677,0.001299,0.001004,0.000775,0.000598,0.00046,0.000354,0.000272,0.000209,0.00016
single-family attached,500-749,0,101-124,0.267523,0.078907,0.087193,0.08583,0.079311,0.070417,0.060821,0.051485,0.042917,0.035343,0.028821,0.023313,0.01873,0.014961,0.011891,0.00941,0.007418,0.005828,0.004565,0.003566,0.002779,0.002161,0.001677,0.001299,0.001004,0.000775,0.000598,0.00046,0.000354,0.000272,0.000209,0.00016
single-family attached,500-749,0,100,0.229345,0.114314,0.117586,0.107747,0.092681,0.0766,0.061588,0.04853,0.037657,0.028868,0.021914,0.0165,0.01234,0.009176,0.006789,0.005001,0.00367,0.002684,0.001957,0.001423,0.001032,0.000747,0.00054,0.000389,0.00028,0.000201,0.000144,0.000104,7.4e-05,5.3e-05,3.8e-05,2.7e-05
single-family attached,0-499,7,<100,0.217084,0.17014,0.155649,0.126847,0.09704,0.07133,0.051006,0.035746,0.024669,0.016819,0.011355,0.007604,0.005058,0.003345,0.002201,0.001442,0.000941,0.000612,0.000397,0.000257,0.000166,0.000107,6.8e-05,4.4e-05,2.8e-05,1.8e-05,1.1e-05,7e-06,5e-06,3e-06,2e-06,1e-06
single-family attached,0-499,7,201+,0.187482,0.104793,0.111487,0.105659,0.094,0.080352,0.066819,0.054457,0.043704,0.034651,0.027205,0.021187,0.016388,0.012603,0.009644,0.007348,0.005577,0.004218,0.003181,0.002393,0.001795,0.001344,0.001004,0.000749,0.000557,0.000414,0.000308,0.000228,0.000169,0.000125,9.2e-05,6.8e-05
single-family attached,0-499,7,200,0.143775,0.091586,0.101344,0.099898,0.092439,0.082186,0.071085,0.060257,0.050298,0.041478,0.033872,0.027436,0.022073,0.017656,0.014052,0.011136,0.008791,0.006916,0.005425,0.004244,0.003312,0.002579,0.002004,0.001554,0.001203,0.00093,0.000718,0.000554,0.000426,0.000328,0.000252,0.000193
