Dependency=geometry_building_type_recs,Dependency=geometry_unit_cfa_bin,Dependency=major_elec_load_count,Dependency=panel_capacity,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
single-family attached,4000+,5,200,0.321051,0.089197,0.094495,0.089178,0.079004,0.067249,0.055688,0.045194,0.036117,0.028516,0.022294,0.017289,0.013317,0.010198,0.007771,0.005896,0.004456,0.003356,0.002521,0.001888,0.00141,0.001051,0.000782,0.000581,0.000431,0.000319,0.000236,0.000174,0.000128,9.4e-05,6.9e-05,5.1e-05
single-family attached,4000+,5,126-199,0.431321,0.111817,0.105935,0.089405,0.070831,0.053918,0.039928,0.028978,0.02071,0.014623,0.010223,0.00709,0.004884,0.003345,0.002279,0.001546,0.001045,0.000704,0.000473,0.000317,0.000212,0.000141,9.4e-05,6.2e-05,4.1e-05,2.7e-05,1.8e-05,1.2e-05,8e-06,5e-06,3e-06,2e-06
single-family attached,4000+,5,125,0.431321,0.111817,0.105935,0.089405,0.070831,0.053918,0.039928,0.028978,0.02071,0.014623,0.010223,0.00709,0.004884,0.003345,0.002279,0.001546,0.001045,0.000704,0.000473,0.000317,0.000212,0.000141,9.4e-05,6.2e-05,4.1e-05,2.7e-05,1.8e-05,1.2e-05,8e-06,5e-06,3e-06,2e-06
single-family attached,4000+,5,101-124,0.431321,0.111817,0.105935,0.089405,0.070831,0.053918,0.039928,0.028978,0.02071,0.014623,0.010223,0.00709,0.004884,0.003345,0.002279,0.001546,0.001045,0.000704,0.000473,0.000317,0.000212,0.000141,9.4e-05,6.2e-05,4.1e-05,2.7e-05,1.8e-05,1.2e-05,8e-06,5e-06,3e-06,2e-06
single-family attached,4000+,5,100,0.384408,0.157261,0.134844,0.102999,0.073854,0.050882,0.034102,0.0224,0.014489,0.009259,0.005859,0.003678,0.002293,0.001421,0.000876,0.000538,0.000329,0.000201,0.000122,7.4e-05,4.5e-05,2.7e-05,1.6e-05,1e-05,6e-06,4e-06,2e-06,1e-06,1e-06,0.0,0.0,0.0
single-family attached,4000+,4,<100,0.391384,0.147988,0.129582,0.101078,0.074012,0.052072,0.03564,0.023906,0.015791,0.010305,0.006659,0.004268,0.002717,0.00172,0.001083,0.000679,0.000424,0.000264,0.000164,0.000102,6.3e-05,3.9e-05,2.4e-05,1.5e-05,9e-06,5e-06,3e-06,2e-06,1e-06,1e-06,0.0,0.0
single-family attached,4000+,4,201+,0.417563,0.086017,0.088578,0.081257,0.069974,0.057897,0.046603,0.036763,0.028559,0.021917,0.016656,0.012556,0.009401,0.006998,0.005183,0.003822,0.002808,0.002056,0.001501,0.001093,0.000794,0.000575,0.000416,0.0003,0.000216,0.000156,0.000112,8e-05,5.7e-05,4.1e-05,2.9e-05,2.1e-05
single-family attached,4000+,4,200,0.3336,0.082179,0.088305,0.084529,0.075955,0.065579,0.055081,0.04534,0.036753,0.029432,0.023339,0.018359,0.014343,0.011141,0.008611,0.006626,0.00508,0.003881,0.002956,0.002246,0.001702,0.001287,0.000971,0.000731,0.00055,0.000413,0.00031,0.000232,0.000173,0.000129,9.7e-05,7.2e-05
single-family attached,4000+,4,126-199,0.444532,0.103329,0.099666,0.085638,0.069075,0.053534,0.040362,0.029823,0.0217,0.015599,0.011104,0.00784,0.005498,0.003834,0.00266,0.001837,0.001264,0.000867,0.000593,0.000404,0.000275,0.000187,0.000126,8.5e-05,5.8e-05,3.9e-05,2.6e-05,1.8e-05,1.2e-05,8e-06,5e-06,4e-06
single-family attached,4000+,4,125,0.444532,0.103329,0.099666,0.085638,0.069075,0.053534,0.040362,0.029823,0.0217,0.015599,0.011104,0.00784,0.005498,0.003834,0.00266,0.001837,0.001264,0.000867,0.000593,0.000404,0.000275,0.000187,0.000126,8.5e-05,5.8e-05,3.9e-05,2.6e-05,1.8e-05,1.2e-05,8e-06,5e-06,4e-06
single-family attached,4000+,4,101-124,0.444532,0.103329,0.099666,0.085638,0.069075,0.053534,0.040362,0.029823,0.0217,0.015599,0.011104,0.00784,0.005498,0.003834,0.00266,0.001837,0.001264,0.000867,0.000593,0.000404,0.000275,0.000187,0.000126,8.5e-05,5.8e-05,3.9e-05,2.6e-05,1.8e-05,1.2e-05,8e-06,5e-06,4e-06
single-family attached,4000+,4,100,0.391384,0.147988,0.129582,0.101078,0.074012,0.052072,0.03564,0.023906,0.015791,0.010305,0.006659,0.004268,0.002717,0.00172,0.001083,0.000679,0.000424,0.000264,0.000164,0.000102,6.3e-05,3.9e-05,2.4e-05,1.5e-05,9e-06,5e-06,3e-06,2e-06,1e-06,1e-06,0.0,0.0
single-family attached,4000+,3,<100,0.399676,0.138772,0.124012,0.098722,0.073774,0.052972,0.037001,0.02533,0.017076,0.011372,0.0075,0.004906,0.003188,0.002059,0.001324,0.000847,0.00054,0.000343,0.000217,0.000137,8.7e-05,5.4e-05,3.4e-05,2.1e-05,1.3e-05,8e-06,5e-06,3e-06,2e-06,1e-06,1e-06,0.0
single-family attached,4000+,3,201+,0.433135,0.078747,0.082333,0.076684,0.067046,0.056324,0.04603,0.036868,0.029078,0.022657,0.017482,0.01338,0.010171,0.007687,0.005781,0.004328,0.003229,0.0024,0.001779,0.001315,0.000969,0.000713,0.000524,0.000384,0.000281,0.000205,0.00015,0.000109,7.9e-05,5.8e-05,4.2e-05,3e-05
single-family attached,4000+,3,200,0.347337,0.075469,0.082213,0.079782,0.072678,0.063614,0.054167,0.045203,0.037146,0.030157,0.024244,0.019333,0.015313,0.012058,0.009448,0.007371,0.005728,0.004437,0.003426,0.002639,0.002027,0.001554,0.001189,0.000908,0.000692,0.000527,0.0004,0.000304,0.00023,0.000174,0.000132,0.0001
single-family attached,4000+,3,126-199,0.458823,0.095127,0.093363,0.081628,0.066995,0.052832,0.04053,0.030473,0.022561,0.016502,0.011952,0.008587,0.006128,0.004347,0.003069,0.002157,0.00151,0.001054,0.000733,0.000509,0.000352,0.000243,0.000168,0.000115,7.9e-05,5.4e-05,3.7e-05,2.5e-05,1.7e-05,1.2e-05,8e-06,5e-06
single-family attached,4000+,3,125,0.458823,0.095127,0.093363,0.081628,0.066995,0.052832,0.04053,0.030473,0.022561,0.016502,0.011952,0.008587,0.006128,0.004347,0.003069,0.002157,0.00151,0.001054,0.000733,0.000509,0.000352,0.000243,0.000168,0.000115,7.9e-05,5.4e-05,3.7e-05,2.5e-05,1.7e-05,1.2e-05,8e-06,5e-06
single-family attached,4000+,3,101-124,0.458823,0.095127,0.093363,0.081628,0.066995,0.052832,0.04053,0.030473,0.022561,0.016502,0.011952,0.008587,0.006128,0.004347,0.003069,0.002157,0.00151,0.001054,0.000733,0.000509,0.000352,0.000243,0.000168,0.000115,7.9e-05,5.4e-05,3.7e-05,2.5e-05,1.7e-05,1.2e-05,8e-06,5e-06
single-family attached,4000+,3,100,0.399676,0.138772,0.124012,0.098722,0.073774,0.052972,0.037001,0.02533,0.017076,0.011372,0.0075,0.004906,0.003188,0.002059,0.001324,0.000847,0.00054,0.000343,0.000217,0.000137,8.7e-05,5.4e-05,3.4e-05,2.1e-05,1.3e-05,8e-06,5e-06,3e-06,2e-06,1e-06,1e-06,0.0
single-family attached,4000+,2,<100,0.409262,0.129664,0.118184,0.09596,0.073141,0.053565,0.038162,0.026646,0.018321,0.012445,0.008371,0.005585,0.003701,0.002439,0.001599,0.001044,0.000679,0.00044,0.000284,0.000183,0.000118,7.5e-05,4.8e-05,3.1e-05,2e-05,1.3e-05,8e-06,5e-06,3e-06,2e-06,1e-06,1e-06
single-family attached,4000+,2,201+,0.449674,0.071832,0.076212,0.072031,0.063908,0.054481,0.045181,0.036722,0.029391,0.023239,0.018196,0.014132,0.010902,0.008361,0.00638,0.004848,0.003669,0.002768,0.002082,0.001562,0.001168,0.000872,0.00065,0.000483,0.000359,0.000266,0.000197,0.000146,0.000107,7.9e-05,5.8e-05,4.3e-05
single-family attached,4000+,2,200,0.362218,0.069081,0.076254,0.074982,0.069213,0.061386,0.052964,0.044786,0.037292,0.030678,0.024991,0.020193,0.016206,0.012931,0.010267,0.008116,0.006391,0.005016,0.003925,0.003063,0.002384,0.001852,0.001436,0.001111,0.000858,0.000662,0.00051,0.000392,0.000301,0.000231,0.000177,0.000136
single-family attached,4000+,2,126-199,0.474112,0.087248,0.087081,0.077426,0.064623,0.051825,0.040432,0.030914,0.023276,0.017313,0.012753,0.009317,0.006761,0.004878,0.003502,0.002503,0.001782,0.001265,0.000895,0.000631,0.000444,0.000312,0.000219,0.000153,0.000107,7.5e-05,5.2e-05,3.6e-05,2.5e-05,1.7e-05,1.2e-05,8e-06
single-family attached,4000+,2,125,0.474112,0.087248,0.087081,0.077426,0.064623,0.051825,0.040432,0.030914,0.023276,0.017313,0.012753,0.009317,0.006761,0.004878,0.003502,0.002503,0.001782,0.001265,0.000895,0.000631,0.000444,0.000312,0.000219,0.000153,0.000107,7.5e-05,5.2e-05,3.6e-05,2.5e-05,1.7e-05,1.2e-05,8e-06
single-family attached,4000+,2,101-124,0.474112,0.087248,0.087081,0.077426,0.064623,0.051825,0.040432,0.030914,0.023276,0.017313,0.012753,0.009317,0.006761,0.004878,0.003502,0.002503,0.001782,0.001265,0.000895,0.000631,0.000444,0.000312,0.000219,0.000153,0.000107,7.5e-05,5.2e-05,3.6e-05,2.5e-05,1.7e-05,1.2e-05,8e-06
single-family attached,4000+,2,100,0.409262,0.129664,0.118184,0.09596,0.073141,0.053565,0.038162,0.026646,0.018321,0.012445,0.008371,0.005585,0.003701,0.002439,0.001599,0.001044,0.000679,0.00044,0.000284,0.000183,0.000118,7.5e-05,4.8e-05,3.1e-05,2e-05,1.3e-05,8e-06,5e-06,3e-06,2e-06,1e-06,1e-06
