Dependency=State	Dependency=Water Heater Fuel	Option=Electric Heat Pump, 50 gal, 3.45 UEF	Option=Electric Heat Pump, 66 gal, 3.35 UEF	Option=Electric Heat Pump, 80 gal, 3.45 UEF	Option=Electric Premium	Option=Electric Standard	Option=Electric Tankless	Option=FIXME Fuel Oil Indirect	Option=Fuel Oil Premium	Option=Fuel Oil Standard	Option=Natural Gas Premium	Option=Natural Gas Standard	Option=Natural Gas Tankless	Option=Other Fuel	Option=Propane Premium	Option=Propane Standard	Option=Propane Tankless	Option=Solar Thermal, 40 sqft, East, Roof Pitch, Electric Standard Backup	Option=Solar Thermal, 40 sqft, North, Roof Pitch, Electric Standard Backup	Option=Solar Thermal, 40 sqft, South, Roof Pitch, Electric Standard Backup	Option=Solar Thermal, 40 sqft, South, Roof Pitch, Fuel Oil Standard Backup	Option=Solar Thermal, 40 sqft, South, Roof Pitch, Natural Gas Standard Backup	Option=Solar Thermal, 40 sqft, South, Roof Pitch, Propane Standard Backup	Option=Solar Thermal, 40 sqft, West, Roof Pitch, Electric Standard Backup	Option=Wood	source_count	source_weight	sampling_probability
NH	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	75	0	3.1138e-06
NH	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	3421.56	3.07228e-05
NJ	Electricity	0.005	0	0	0.196717	0.767517	0.0307655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	869033	0.00666509
NJ	Fuel Oil	0	0	0	0	0	0	0.274742	0.112274	0.612983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	110499	0.00112155
NJ	Natural Gas	0	0	0	0	0	0	0	0	0	0.179273	0.750995	0.0697323	0	0	0	0	0	0	0	0	0	0	0	0	325	2.36289e+06	0.0185366
NJ	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	0	0
NJ	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0694201	0.703054	0.227526	0	0	0	0	0	0	0	0	69	51566	0.000424665
NJ	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	75	0	7.51222e-07
NJ	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	0	4.85429e-06
NM	Electricity	0.005	0	0	0.0967361	0.680446	0.217817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	155069	0.00164507
NM	Fuel Oil	0	0	0	0	0	0	0.254068	0.235338	0.510595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	3.1663e-06
NM	Natural Gas	0	0	0	0	0	0	0	0	0	0.255781	0.702405	0.0418145	0	0	0	0	0	0	0	0	0	0	0	0	127	551121	0.00438689
NM	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	0	1.58082e-07
NM	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.315459	0.60628	0.0782611	0	0	0	0	0	0	0	0	17	80863.1	0.000771195
NM	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22673	0.0245899	0.571729	0	0.012253	0.0303538	0.134345	0	61	0	0
NM	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20	0	3.35138e-09
NV	Electricity	0.005	0	0	0.152316	0.802816	0.0398688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	312659	0.00332924
NV	Fuel Oil	0	0	0	0	0	0	0.254068	0.235338	0.510595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	1.75387e-05
NV	Natural Gas	0	0	0	0	0	0	0	0	0	0.232216	0.703766	0.0640182	0	0	0	0	0	0	0	0	0	0	0	0	159	767925	0.00535547
NV	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	0	7.88573e-06
NV	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.297597	0.499143	0.20326	0	0	0	0	0	0	0	0	12	58825	0.000245228
NV	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22673	0.0245899	0.571729	0	0.012253	0.0303538	0.134345	0	61	0	0
NV	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20	0	2.23632e-08
NY	Electricity	0.005	0	0	0.230439	0.72074	0.0438208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	2.10806e+06	0.0159064
NY	Fuel Oil	0	0	0	0	0	0	0.238225	0.230835	0.530941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	825150	0.00884946
NY	Natural Gas	0	0	0	0	0	0	0	0	0	0.19526	0.751772	0.0529679	0	0	0	0	0	0	0	0	0	0	0	0	517	4.27676e+06	0.0335603
NY	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	0	0
NY	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0554031	0.710609	0.233988	0	0	0	0	0	0	0	0	40	274157	0.00252824
NY	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	75	20722.3	0.000186555
NY	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	16269.9	7.49577e-05
OH	Electricity	0.005	0	0	0.222982	0.741093	0.0309254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	1.78181e+06	0.0143947
OH	Fuel Oil	0	0	0	0	0	0	0.285263	0.169796	0.54494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	604	19087.4	8.55242e-05
OH	Natural Gas	0	0	0	0	0	0	0	0	0	0.132124	0.852856	0.0150206	0	0	0	0	0	0	0	0	0	0	0	0	197	2.71276e+06	0.0223955
OH	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	0	6.94681e-07
OH	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.108634	0.608307	0.283059	0	0	0	0	0	0	0	0	16	225347	0.00147415
OH	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	75	0	2.77755e-06
OH	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20	0	4.08745e-05
OK	Electricity	0.005	0	0	0.169297	0.795458	0.0302444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	677438	0.00562008
OK	Fuel Oil	0	0	0	0	0	0	0.0539114	0.0644831	0.881606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	3.78973e-06
OK	Natural Gas	0	0	0	0	0	0	0	0	0	0.142613	0.817402	0.0399847	0	0	0	0	0	0	0	0	0	0	0	0	124	744359	0.00626568
OK	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	0	0
OK	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.206747	0.631478	0.161775	0	0	0	0	0	0	0	0	11	71035.8	0.000787785
OK	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	75	0	0
OK	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20	0	3.01708e-09
OR	Electricity	0.03	0	0	0.213623	0.742454	0.0139223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	1.07223e+06	0.00842617
OR	Fuel Oil	0	0	0	0	0	0	0.191887	0.3599	0.448213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	7.32379e-05
OR	Natural Gas	0	0	0	0	0	0	0	0	0	0.161243	0.767115	0.0716417	0	0	0	0	0	0	0	0	0	0	0	0	113	544792	0.00393442
OR	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	0	4.07789e-06
OR	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.300673	0.521608	0.17772	0	0	0	0	0	0	0	0	57	37132.3	0.000289835
OR	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225093	0.0244123	0.567602	0	0.0142406	0.0352778	0.133375	0	56	0	4.7505e-07
OR	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20	0	3.3174e-08
PA	Electricity	0.005	0	0	0.219632	0.743872	0.0314959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277	2.2848e+06	0.0180875
PA	Fuel Oil	0	0	0	0	0	0	0.30953	0.141518	0.548952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	292930	0.0031165
PA	Natural Gas	0	0	0	0	0	0	0	0	0	0.0916509	0.871993	0.0363559	0	0	0	0	0	0	0	0	0	0	0	0	278	2.35556e+06	0.0190712
PA	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	13480.4	0.00012987
PA	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.114322	0.629445	0.256233	0	0	0	0	0	0	0	0	22	165305	0.00117668
PA	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	75	9914.37	9.21169e-05
PA	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	6406.19	4.15931e-05
RI	Electricity	0.005	0	0	0.234686	0.671546	0.0887686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	109254	0.000783292
RI	Fuel Oil	0	0	0	0	0	0	0.39434	0.120025	0.485635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	81064.9	0.000715365
RI	Natural Gas	0	0	0	0	0	0	0	0	0	0.197129	0.715459	0.0874121	0	0	0	0	0	0	0	0	0	0	0	0	92	214648	0.00182448
RI	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	0	0
RI	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.123695	0.576797	0.299508	0	0	0	0	0	0	0	0	154	11962.2	0.000119175
RI	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	75	0	1.79603e-06
RI	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	1759.62	7.13106e-06
SC	Electricity	0.005	0	0	0.214245	0.743335	0.0374198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	1.52374e+06	0.013091
SC	Fuel Oil	0	0	0	0	0	0	0.0697573	0.0834363	0.846806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	1.6511e-05
SC	Natural Gas	0	0	0	0	0	0	0	0	0	0.3169	0.457274	0.225826	0	0	0	0	0	0	0	0	0	0	0	0	73	404696	0.00292068
SC	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	0	0
SC	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0953087	0.473714	0.430977	0	0	0	0	0	0	0	0	87	42100.2	0.000318659
SC	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	75	0	4.50686e-07
SC	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20	0	4.52144e-06
SD	Electricity	0.005	0	0	0.213219	0.720926	0.0608541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	165861	0.00149398
SD	Fuel Oil	0	0	0	0	0	0	0.285263	0.169796	0.54494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	604	0	2.02903e-06
SD	Natural Gas	0	0	0	0	0	0	0	0	0	0.130248	0.805849	0.0639031	0	0	0	0	0	0	0	0	0	0	0	0	87	158583	0.0010777
SD	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	0	8.5669e-08
SD	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0971777	0.590683	0.312139	0	0	0	0	0	0	0	0	11	21981.2	0.000226206
SD	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	75	0	3.10015e-07
SD	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20	0	3.49886e-06
TN	Electricity	0.005	0	0	0.234329	0.740739	0.0199326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	367	1.97179e+06	0.0161963
TN	Fuel Oil	0	0	0	0	0	0	0.0539114	0.0644831	0.881606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	1.10575e-05
TN	Natural Gas	0	0	0	0	0	0	0	0	0	0.156995	0.71159	0.131415	0	0	0	0	0	0	0	0	0	0	0	0	128	633855	0.00475244
TN	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	0	0
TN	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105342	0.681274	0.213384	0	0	0	0	0	0	0	0	10	51870.7	0.000474478
TN	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	75	0	3.19006e-07
TN	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20	0	4.22914e-07
TX	Electricity	0.005	0	0	0.255495	0.701603	0.0379023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	532	5.56133e+06	0.0460241
TX	Fuel Oil	0	0	0	0	0	0	0.0539114	0.0644831	0.881606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	21144.7	7.54275e-05
TX	Natural Gas	0	0	0	0	0	0	0	0	0	0.2161	0.722728	0.0611721	0	0	0	0	0	0	0	0	0	0	0	0	448	4.35311e+06	0.0284526
TX	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	0	0
TX	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0999043	0.644587	0.255509	0	0	0	0	0	0	0	0	34	319821	0.0033386
TX	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	75	0	0
TX	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20	0	5.88307e-08
UT	Electricity	0.005	0	0	0.0846151	0.910385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	160546	0.00153544
UT	Fuel Oil	0	0	0	0	0	0	0.254068	0.235338	0.510595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	2.97078e-06
UT	Natural Gas	0	0	0	0	0	0	0	0	0	0.159043	0.809114	0.0318429	0	0	0	0	0	0	0	0	0	0	0	0	163	859576	0.0058448
UT	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	0	3.14479e-07
UT	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16692	0.6694	0.16368	0	0	0	0	0	0	0	0	40	19874.7	0.000248848
UT	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22673	0.0245899	0.571729	0	0.012253	0.0303538	0.134345	0	61	0	6.61478e-06
UT	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20	0	4.60985e-09
VA	Electricity	0.005	0	0	0.157353	0.812226	0.0254215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275	2.04104e+06	0.01691
VA	Fuel Oil	0	0	0	0	0	0	0.0697573	0.0834363	0.846806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	21090.9	0.000180906
VA	Natural Gas	0	0	0	0	0	0	0	0	0	0.111829	0.793661	0.0945096	0	0	0	0	0	0	0	0	0	0	0	0	154	1.05468e+06	0.00750088
VA	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	0	0
VA	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0944304	0.53669	0.368879	0	0	0	0	0	0	0	0	19	125206	0.00110769
VA	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	75	0	5.6548e-07
VA	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20	0	9.4428e-07
VT	Electricity	0.005	0	0	0.290002	0.681012	0.0239852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	92606	0.000964519
VT	Fuel Oil	0	0	0	0	0	0	0.181685	0.131666	0.686649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	58330.2	0.00051648
VT	Natural Gas	0	0	0	0	0	0	0	0	0	0.113911	0.775546	0.110543	0	0	0	0	0	0	0	0	0	0	0	0	51	54895.3	0.000396786
VT	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	0	1.00932e-06
VT	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.163292	0.615715	0.220993	0	0	0	0	0	0	0	0	52	51077.9	0.000535968
VT	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	75	922.14	1.00537e-05
VT	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	992.428	1.30739e-05
WA	Electricity	0.03	0	0	0.248168	0.688662	0.0331702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257	1.8359e+06	0.0140863
WA	Fuel Oil	0	0	0	0	0	0	0.191887	0.3599	0.448213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0.000116963
WA	Natural Gas	0	0	0	0	0	0	0	0	0	0.202945	0.679374	0.117681	0	0	0	0	0	0	0	0	0	0	0	0	168	1.01322e+06	0.00700038
WA	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	0	6.51517e-06
WA	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23709	0.546984	0.215926	0	0	0	0	0	0	0	0	13	82102.8	0.000833832
WA	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225093	0.0244123	0.567602	0	0.0142406	0.0352778	0.133375	0	56	0	1.08036e-06
WA	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20	7802.68	8.62285e-05
WI	Electricity	0.005	0	0	0.227778	0.742547	0.0246758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	942559	0.00868291
WI	Fuel Oil	0	0	0	0	0	0	0.285263	0.169796	0.54494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	604	3080.8	4.98156e-05
WI	Natural Gas	0	0	0	0	0	0	0	0	0	0.183832	0.786133	0.0300348	0	0	0	0	0	0	0	0	0	0	0	0	212	1.36543e+06	0.0101592
WI	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	0	4.52161e-07
WI	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.279806	0.61117	0.109024	0	0	0	0	0	0	0	0	10	64461.1	0.00073677
WI	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	75	5832.73	4.32468e-05
WI	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20	7510.57	9.25772e-05
WV	Electricity	0.005	0	0	0.13207	0.855882	0.00704736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	495715	0.00456775
WV	Fuel Oil	0	0	0	0	0	0	0.0697573	0.0834363	0.846806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	2.45582e-05
WV	Natural Gas	0	0	0	0	0	0	0	0	0	0.244149	0.737346	0.0185059	0	0	0	0	0	0	0	0	0	0	0	0	55	196777	0.00182665
WV	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	0	0
WV	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0953087	0.473714	0.430977	0	0	0	0	0	0	0	0	87	3669.15	0.000168295
WV	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	75	0	8.79781e-08
WV	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20	0	1.2386e-05
WY	Electricity	0.005	0	0	0.128554	0.801002	0.0654434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	75258.8	0.000768463
WY	Fuel Oil	0	0	0	0	0	0	0.254068	0.235338	0.510595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	1.49655e-06
WY	Natural Gas	0	0	0	0	0	0	0	0	0	0.113571	0.787436	0.0989931	0	0	0	0	0	0	0	0	0	0	0	0	122	140680	0.00110994
WY	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	0	1.64381e-07
WY	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16692	0.6694	0.16368	0	0	0	0	0	0	0	0	40	10207.5	0.000118657
WY	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22673	0.0245899	0.571729	0	0.012253	0.0303538	0.134345	0	61	0	3.52918e-07
WY	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20	0	2.00988e-09
# Created by: sources\recs\recs2020\tsv_maker.py
# Description: The efficiency, type, and heating fuel of water heater.
# Source: Constructed using U.S. EIA 2020 Residential Energy Consumption Survey (RECS) microdata.
# Source: (Heat pump water heaters) 2016-17 RBSA II for WA and OR and Butzbaugh et al. 2017 US HPWH Market Transformation - Where We've Been and Where to Go Next for remainder of regions
# Source: Penetration of HPWH for Maine (6.71%) calculated based on total number of HPWH units (AWHI Stakeholder Meeting 12/08/2022) and total housing units https://www.census.gov/quickfacts/ME
# Assumption: Water heater blanket is used as a proxy for premium storage tank water heaters.
# Assumption: Heat Pump Water Heaters are added in manually as they are not in the survey.
# Assumption: Default efficiency of HPWH: Electric Heat Pump, 50 gal, 3.45 UEF.
# Assumption: Default solar thermal collector assumed: 40 sqft, Roof Pitch,
# Assumption: Solar thermal backup is informed by secondary water heater fuel type. Solar collector orientation is based on rooftop solar orientation for electric backup and assumed south-facing for fuel backup. If a solar thermal system has no secondary water heater or has a second solar thermal system, they are assumed to have electric backup.
# Assumption: Other Fuel water heater energy is modeled as coal
# Assumption: Due to low sample sizes, fallback rules applied with lumping of:
# Assumption: [1] State: Census Division RECS
# Assumption: [2] State: Census Region[3] State: National
