Dependency=State	Dependency=Water Heater Fuel	Option=Electric Heat Pump, 50 gal, 3.45 UEF	Option=Electric Heat Pump, 66 gal, 3.35 UEF	Option=Electric Heat Pump, 80 gal, 3.45 UEF	Option=Electric Premium	Option=Electric Standard	Option=Electric Tankless	Option=FIXME Fuel Oil Indirect	Option=Fuel Oil Premium	Option=Fuel Oil Standard	Option=Natural Gas Premium	Option=Natural Gas Standard	Option=Natural Gas Tankless	Option=Other Fuel	Option=Propane Premium	Option=Propane Standard	Option=Propane Tankless	Option=Solar Thermal, 40 sqft, East, Roof Pitch, Electric Standard Backup	Option=Solar Thermal, 40 sqft, North, Roof Pitch, Electric Standard Backup	Option=Solar Thermal, 40 sqft, South, Roof Pitch, Electric Standard Backup	Option=Solar Thermal, 40 sqft, South, Roof Pitch, Fuel Oil Standard Backup	Option=Solar Thermal, 40 sqft, South, Roof Pitch, Natural Gas Standard Backup	Option=Solar Thermal, 40 sqft, South, Roof Pitch, Propane Standard Backup	Option=Solar Thermal, 40 sqft, West, Roof Pitch, Electric Standard Backup	Option=Wood	source_count	source_weight	sampling_probability
KS	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.828648	0.171352	0	0	0	0	0	0	0	0	16	82257.8	0.000944982
KS	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	75	0	4.68733e-07
KS	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20	0	1.06945e-05
KY	Electricity	0.005	0	0	0.190674	0.764462	0.0398647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275	1.13187e+06	0.00999424
KY	Fuel Oil	0	0	0	0	0	0	0.0539114	0.0644831	0.881606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	1.32796e-05
KY	Natural Gas	0	0	0	0	0	0	0	0	0	0.148705	0.843998	0.00729663	0	0	0	0	0	0	0	0	0	0	0	0	146	577972	0.00418326
KY	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	0	0
KY	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.169292	0.506976	0.323732	0	0	0	0	0	0	0	0	35	28425.1	0.000363141
KY	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	75	0	1.87291e-07
KY	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20	0	2.77696e-07
LA	Electricity	0.005	0	0	0.226455	0.749255	0.0192908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	1.04755e+06	0.00892976
LA	Fuel Oil	0	0	0	0	0	0	0.0539114	0.0644831	0.881606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	1.62865e-06
LA	Natural Gas	0	0	0	0	0	0	0	0	0	0.170333	0.770181	0.0594859	0	0	0	0	0	0	0	0	0	0	0	0	120	634349	0.00547726
LA	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	0	0
LA	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.132679	0.629867	0.237454	0	0	0	0	0	0	0	0	63	45330.2	0.000597876
LA	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	75	0	0
LA	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20	0	4.82148e-10
MA	Electricity	0.005	0	0	0.235561	0.635737	0.123702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	806307	0.0064332
MA	Fuel Oil	0	0	0	0	0	0	0.318048	0.132846	0.549106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	408448	0.00334789
MA	Natural Gas	0	0	0	0	0	0	0	0	0	0.189751	0.68572	0.124529	0	0	0	0	0	0	0	0	0	0	0	0	277	1.4225e+06	0.010776
MA	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	7346.07	6.43656e-05
MA	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0624829	0.825796	0.111721	0	0	0	0	0	0	0	0	15	61993.1	0.000488132
MA	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	75	2530.66	1.97014e-05
MA	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	4653.74	3.1109e-05
MD	Electricity	0.005	0	0	0.158966	0.762804	0.0732293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	1.29833e+06	0.0107614
MD	Fuel Oil	0	0	0	0	0	0	0.0697573	0.0834363	0.846806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	32906.2	0.00037797
MD	Natural Gas	0	0	0	0	0	0	0	0	0	0.167432	0.780935	0.0516336	0	0	0	0	0	0	0	0	0	0	0	0	142	879948	0.00626527
MD	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	0	0
MD	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0953087	0.473714	0.430977	0	0	0	0	0	0	0	0	87	46040	0.000553721
MD	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	75	13310.6	0.00010021
MD	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20	10798.4	7.90382e-06
ME	Electricity	0.0671	0	0	0.216591	0.676171	0.040138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	199383	0.00186745
ME	Fuel Oil	0	0	0	0	0	0	0.330573	0.177729	0.491698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	190409	0.00237542
